URL	銘柄コード	開示日	タイトル	要約	株主にとって	作成日
/disc/141A0/140120240813570688.pdf	141A	2024-08-13	業績条件型譲渡制限付株式報酬及び譲渡制限付株式としての自己株式の処分に関するお知らせ	役員報酬制度の見直しに伴い、業績条件型譲渡制限付株式の導入を決議。自己株式処分の見込額は5億円。	中立	2026-08-15
/disc/141A0/140120240813570678.pdf	141A	2024-08-13	業績条件型譲渡制限付株式報酬制度の導入に関するお知らせ	トライアルHDは役員報酬の一部を業績連動型株式報酬へ移行し、年間4万株以内（1億円以内）の枠を設定すると開示した。	中立	2026-08-15
/disc/141A0/140120240813570812.pdf	141A	2024-08-13	2024年6月期 決算短信〔日本基準〕（連結）	売上高7,179億円で増収増益、純利益は前年比41.5%増の1,143億円となった。	好材料	2026-08-15
/disc/141A0/140120240910582959.pdf	141A	2024-09-10	2024年8月度 月次売上高速報(小売)	8月度売上高は前年同月比109.3%、客数105.8%と増収。記録的高温や災害特需により食品・非食品が好調で急伸した。	好材料	2026-08-15
/disc/141A0/140120240925588835.pdf	141A	2024-09-27	事業計画及び成長可能性に関する事項	トライアルHDは事業計画資料を提出。24年6月期売上高7,179億円（+5.8%）、営業利益191億円と増収増益。	好材料	2026-08-15
/disc/141A0/140120240930591035.pdf	141A	2024-09-30	支配株主等に関する事項について	支配株主THCの議決権所有割合は54.12%で変動なし。支配株主との取引方針や少数株主保護策に関する定型的な開示である。	中立	2026-08-15
/disc/141A0/140120240930591051.pdf	141A	2024-09-30	当社完全子会社の取締役並びに当社及び当社完全子会社の従業員に対する譲渡制限付株式としての自己株式の処分に関するお知らせ	トライアルHDは役員・従業員計167名に対し、自己株式158,958株を総額約5億6,758万円で譲渡制限付株式として処分する。	中立	2026-08-15
/disc/141A0/140120240930591052.pdf	141A	2024-09-30	当社の非完全子会社である子会社の取締役及び従業員に対する譲渡制限付株式としての自己株式の処分に関するお知らせ	非完全子会社の取締役と従業員に対し、自己株式計1,570株を総額約537万円で譲渡制限付で処分する方針。	中立	2026-08-15
/disc/141A0/140120240930591049.pdf	141A	2024-09-30	当社の取締役に対する業績条件型譲渡制限付株式報酬としての自己株式の処分に関するお知らせ	トライアルHDは取締役3名に対し、自己株式7,500株（計2,565万円）を業績条件型譲渡制限付株式として処分すると決議した。	中立	2026-08-15
/disc/141A0/140120241008595181.pdf	141A	2024-10-10	2024年9月度 月次売上高速報(小売)	トライアルHDは9月度の既存店売上高が前年同月比1.6%増となり、40ヵ月連続で成長した。猛烈な残暑や実質休日の増加が寄与し、生鮮や惣菜が堅調に推移した。	好材料	2026-08-15
/disc/141A0/140120241029504489.pdf	141A	2024-10-30	当社の取締役に対する業績条件型譲渡制限付株式報酬及び当社子会社の取締役に対する譲渡制限付株式としての自己株式の処分の払込完了に関するお知らせ	トライアルHDは役員向け譲渡制限付株式の払込を完了。計16,196株、総額5,539万円の自己株式処分を実施した。	中立	2026-08-15
/disc/141A0/140120241111517288.pdf	141A	2024-11-11	2024年10月度 月次売上高速報(小売)	トライアルHDは10月度の全店売上高が前年同月比100.8%とほぼ横ばいだったと開示。	中立	2026-08-15
/disc/141A0/140120241111518215.pdf	141A	2024-11-13	2025年6月期 第1四半期決算短信〔日本基準〕（連結）	2025年6月期第1四半期の連結売上高は1兆9,583億円、営業利益は49億3,100万円。業績予想は据え置きで通期増収増益を見込む。	好材料	2026-08-15
/disc/141A0/140120241121527266.pdf	141A	2024-11-22	完全子会社との会社分割（簡易吸収分割）に関するお知らせ	トライアルHDは2025年1月10日付で、中国子会社の管理事業を完全子会社から承継する簡易吸収分割を実施すると決議した。	中立	2026-08-15
/disc/141A0/140120241210536092.pdf	141A	2024-12-10	2024年11月度 月次売上高速報(小売)	トライアルHDは11月度の売上高が前年同月比105.0%、客数が103.5%と増収増益となった。生鮮食品やポイントアップイベントが成長を牽引した。	好材料	2026-08-15
/disc/141A0/140120250110549128.pdf	141A	2025-01-10	2024年12月度 月次売上高速報(小売)	トライアルHDは12月度の全店売上高が前年同月比113.0%と増収。年末商戦で正月関連消費が活発化し、既存店も伸長した。	好材料	2026-08-15
/disc/141A0/140120250128556510.pdf	141A	2025-01-30	行使価額の調整に関するお知らせ	トライアルHDは1月30日付で第19回新株予約権の行使価額を1,720円から1,699円へ調整すると開示した。	中立	2026-08-15
/disc/141A0/140120250128556513.pdf	141A	2025-01-30	当社及び当社完全子会社並びに当社非完全子会社の従業員に対する譲渡制限付株式としての自己株式の処分の払込完了及び一部失権に関するお知らせ	従業員への譲渡制限付自己株式処分の払込完了および一部失権により、総額約5億4,115万円の株式処分が実施された。	中立	2026-08-15
/disc/141A0/140120250210567536.pdf	141A	2025-02-10	2025年1月度 月次売上高速報(小売)	トライアルHDは1月度の既存店売上高が前年同月比103.6%増と伸長。初売り商戦で生鮮や日配品が好調だった	中立	2026-08-15
/disc/141A0/140120250212570444.pdf	141A	2025-02-13	2025年6月期 第2四半期（中間期）決算短信〔日本基準〕（連結）	売上高4,037億円で増収も、利益は人件費上昇で減益。通期予想は据え置きで増配予定。	中立	2026-08-15
/disc/141A0/140120250304588197.pdf	141A	2025-03-05	株式会社西友の株式の取得（完全子会社化）に関するお知らせ	トライアルHDは西友を3,826億円で取得し完全子会社化。連結売上高1兆円超へ拡大し、増資なしで借入で調達。	好材料	2026-08-15
/disc/141A0/140120250310590660.pdf	141A	2025-03-10	2025年2月度 月次売上高速報(小売)	トライアルHDは2月度の既存店売上高が前年同月比98.7%と減収となった。寒気や営業日減少の影響を受けた。	中立	2026-08-15
/disc/141A0/140120250325599613.pdf	141A	2025-03-25	代表取締役の異動に関するお知らせ	代表取締役に永田洋幸氏が就任し、亀田晃一氏は副会長へ異動。経営体制刷新による企業価値向上が理由。	中立	2026-08-15
/disc/141A0/140120250410512334.pdf	141A	2025-04-10	2025年3月度 月次売上高速報(小売)	トライアルHDは3月度の売上高が前年同月比105.6%増となった。感謝祭や駆け込み需要により客数・客単価ともに増加し、全店舗数は345店に拡大した。	好材料	2026-08-15
/disc/141A0/140120250423520866.pdf	141A	2025-04-23	完全子会社との会社分割（簡易吸収分割）に関するお知らせ	完全子会社から研修所・社員寮等の資産管理事業（固定資産912百万円）を無対価で吸収分割により承継。セグメント数値明確化で意思決定迅速化を図る。連結業績への影響は軽微。	中立	2026-08-15
/disc/141A0/140120250509537000.pdf	141A	2025-05-09	2025年4月度 月次売上高速報(小売)	2025年4月度の既存店売上高は前年比103.8%、全店103.8%増。新規1店出店、閉店0店で全店346店。生活必需品と行楽用品がけん引。	判断できない	2026-08-15
/disc/141A0/140120250514548373.pdf	141A	2025-05-14	通期連結業績予想の修正に関するお知らせ	25年6月期通期予想を下方修正。売上高8029億円（-0.7%）、営業益192億円（-16.5%）、純利益104億円（-24.4%）。猛暑で季節商品苦戦、新規出店増と人件費増が響く。配当据え置き。	悪材料	2026-08-15
/disc/141A0/140120250514548553.pdf	141A	2025-05-14	2025年6月期 第3四半期決算短信〔日本基準〕（連結）	2025年6月期第3四半期は売上高6000億円（前年比+11.7%）と増収も、営業利益134億円（同-12.6%）など減益。通期予想を修正、売上高8029億円（+11.8%）増収見込むも当期純利益104億円（-9.1%）減益予想。配当予想16円据え置き。	中立	2026-08-15
/disc/141A0/140120250521560076.pdf	141A	2025-06-02	当社株式の貸借銘柄選定に関するお知らせ	当社株式が6月3日付で貸借銘柄に選定され、流動性向上と公正な価格形成に資すると発表。	中立	2026-08-15
/disc/141A0/140120250609585092.pdf	141A	2025-06-10	2025年5月度 月次売上高速報(小売)	5月度既存店売上高は前年比3.6%増で48ヶ月連続前年超え、全店売上高は同14.1%増。新規3店舗出店で店舗数348店に拡大。	好材料	2026-08-15
/disc/141A0/140120250625598802.pdf	141A	2025-06-26	財務上の特約が付された金銭消費貸借契約の締結に関するお知らせ	トライアルHDが西友買収資金3674億円を三菱UFJ銀行から1年無担保で借入、財務特約付き。25年6月期業績への影響なし。	中立	2026-08-15
/disc/141A0/140120250701506206.pdf	141A	2025-07-02	（開示事項の経過）株式会社西友の株式の取得（完全子会社化）完了のお知らせ	トライアルHDが西友株式99,234,000株を取得し完全子会社化完了。26年6月期第1四半期から連結、業績予想は策定中。	判断できない	2026-08-15
/disc/141A0/140120250710511383.pdf	141A	2025-07-10	2025年6月度 月次売上高速報(小売)	2025年6月度の既存店売上高は前年比101.3%、全店売上高は111.2%。客数98.3%減を客単価103.0%増が補い、新規出店4店で店舗数352店に拡大。	判断できない	2026-08-15
/disc/141A0/140120250807533626.pdf	141A	2025-08-08	2025年7月度 月次売上高速報(小売)	7月既存店売上高が前年比1.4%増で50ヶ月連続成長、全店は西友連結で11.9%増。新規5店舗出店、猛暑で生鮮・季節品好調も客数減。	好材料	2026-08-15
/disc/141A0/140120250813540315.pdf	141A	2025-08-13	2025年6月期 決算短信〔日本基準〕（連結）	25年6月期売上高8038億円（+12%）、営業益211億円（+10.2%）、純益118億円（+2.7%）で増収増益、配当16円に増配。26年6月期売上高1.3兆円見込むも純益5億円に大幅減益予想。	好材料	2026-08-15
/disc/141A0/140120250910555653.pdf	141A	2025-09-10	2025年8月度 月次売上高速報(小売)	8月度既存店売上高は前年比98.3％（客数94.6％、客単価103.9％）、全店売上高は108.1％。新規出店1店、閉店0店。猛暑と大雨、前年の高いハードルの反動で客数減も客単価上昇で下支え、会社は想定範囲内と説明。	中立	2026-08-15
/disc/141A0/140120250928563704.pdf	141A	2025-09-29	支配株主等に関する事項について	支配株主であるTHC（永田社長らの資産管理会社）が議決権53.97%を保有。取引はなく、少数株主保護の方策を整備済み。	中立	2026-08-15
/disc/141A0/140120250928563706.pdf	141A	2025-09-30	事業計画及び成長可能性に関する事項	トライアルHDが事業計画を開示。2025年6月期は売上高8038億円（+3.6%）、営業利益211億円、会員1217万人（+10.2%）と増収増益。小売（EDLP・西友）とリテールAIの二枚看板で成長を目指すが、新たな数値目標や資本政策変更は示されず。	中立	2026-08-15
/disc/141A0/140120251008570352.pdf	141A	2025-10-10	2025年9月度 月次売上高速報(小売)	9月既存店売上高は前年比99.8%で計画範囲内、全店109.1%。客数減だが客単価増でカバー、新規1店・閉店2店（西友1店は12月トライアル転換）	中立	2026-08-15
/disc/141A0/140120251110593487.pdf	141A	2025-11-10	2025年10月度 月次売上高速報(小売)	10月既存店売上高が前年比1.7%増、全店10.1%増。感謝祭やPB相互導入が寄与し計画通り推移。	好材料	2026-08-15
/disc/141A0/140120251112598691.pdf	141A	2025-11-13	2026年6月期 第1四半期決算短信〔日本基準〕（連結）	西友を子会社化し売上高3266億円（前年比66.8%増）も、経常利益38.3%減の32億円、純損失9.8億円。通期予想据え置き。	中立	2026-08-15
/disc/141A0/140120251210517162.pdf	141A	2025-12-10	2025年11月度 月次売上高速報(小売)	11月既存店売上高がトライアル105.5%、西友113.7%と前年超え。土日祝日増と周年祭、食品好調が寄与し、東京で新業態2店舗開業。	好材料	2026-08-15
/disc/141A0/140120260109531257.pdf	141A	2026-01-09	2025年12月度 月次売上高速報(小売)	12月既存店売上高は前年比99.8%と微減、全店は新規出店5店などで107.7%増。客数減・客単価増、暖冬と周年祭時期ズレで既存店押し下げも年末商戦は104.9%と好調。	判断できない	2026-08-15
/disc/141A0/140120260210552950.pdf	141A	2026-02-10	2026年1月度 月次売上高速報(小売)	1月既存店売上高が前年比5.6%増、全店13.4%増。休日増と冬物好調で年始4日間12.4%増、食品・非食品とも伸長。	好材料	2026-08-15
/disc/141A0/140120260212555568.pdf	141A	2026-02-12	中期経営計画(2027年6月期～2029年6月期)	西友買収後のPMI推進で2029年6月期に売上1.63兆円・営業益640億円・EBITDA1000億円目指す。3年間は基盤整備期、以降本格成長投資へ。	中立	2026-08-15
/disc/141A0/140120260211555054.pdf	141A	2026-02-12	2026年6月期 第2四半期（中間期）決算短信〔日本基準〕（連結）	西友を子会社化し売上高6741億円（+67%）、営業益167億円（+72%）増も、中間純益41億円（-34%）減。通期予想・配当16円据え置き	中立	2026-08-15
/disc/141A0/140120260223567024.pdf	141A	2026-02-24	完全子会社との会社分割（簡易吸収分割）に関するお知らせ	完全子会社TRIALSからトライアルカンパニー管理事業を無対価で簡易吸収分割により承継、4/1効力。組織再編で事業推進加速へ、連結影響は軽微。	中立	2026-08-15
/disc/141A0/140120260309578577.pdf	141A	2026-03-10	2026年2月度 月次売上高速報(小売)	2月度はトライアル既存店売上高が前年比102.1%、全店109.3%、西友全店111.4%と増収。新規4店舗出店、1店舗閉店、1店舗業態転換を実施。	判断できない	2026-08-15
/disc/141A0/140120260410501238.pdf	141A	2026-04-10	2026年3月度 月次売上高速報(小売)	3月既存店売上高は前年比100.3%と微増、全店は107.1%増。「SU-PAY祭」とアプリ会員過去最多が寄与も、土曜日1日減で約1.4pt押し下げ。新規2店・閉店1店。	中立	2026-08-15
/disc/141A0/140120260510521121.pdf	141A	2026-05-11	2026年4月度 月次売上高速報(小売)	4月度既存店売上高は前年比102.8%、期初10か月累計101.7%で通期計画100.6%を上回り好調に推移。新規3店・閉店3店で全店売上高110.0%増。	中立	2026-08-15
/disc/141A0/140120260514531931.pdf	141A	2026-05-14	通期連結業績予想の修正に関するお知らせ	2026年6月期通期予想を上方修正。売上高1,3425億円（+1.5%）、営業利益280億円（+10.2%）、経常利益173億円（+24.5%）へ増額。売上好調と費用抑制で増益。純利益は特別損失で据え置き。配当変更なし。	好材料	2026-08-15
/disc/141A0/140120260510521120.pdf	141A	2026-05-14	2026年6月期 第3四半期決算短信〔日本基準〕（連結）	西友買収で売上高1兆36億円（+67.3%）、営業益229億円（+70.4%）増益も、のれん償却で純利益59億円（-29.3%）。通期純利益予想5億円（-95.7%）に下方修正。	悪材料	2026-08-15
/disc/141A0/140120260610566899.pdf	141A	2026-06-10	2026年5月度 月次売上高速報(小売)	5月既存店売上高が前年比107.2％、客数102.0％と今期最高伸長。天候好転と祝日増で全カテゴリ好調、全店売上高115.1％増。	好材料	2026-08-15
/disc/141A0/140120260623576380.pdf	141A	2026-06-23	財務上の特約の付されたシンジケートローンによる既存借入金のリファイナンス及び営業外費用の計上に関するお知らせ	西友買収のつなぎ融資3,674億円を10年シンジケートローンに借換え。借入関連費55億円は織り込み済みで業績予想に変更なし。	中立	2026-08-15
/disc/141A0/140120260623576375.pdf	141A	2026-06-23	完全子会社との会社分割（簡易吸収分割）に関するお知らせ	完全子会社TRETからトライアルゴルフ＆リゾート管理事業を簡易吸収分割で承継（8/1効力）。意思決定迅速化・ガバナンス強化が目的。連結影響は軽微。	中立	2026-08-15
/disc/141A0/140120260710590910.pdf	141A	2026-07-10	2026年6月度 月次売上高速報(小売)	6月既存店売上高が前年比1.6%増で6カ月連続増収、通期は計画1.8%増を上回る2.1%増で着地。総力祭や生鮮好調が寄与。	好材料	2026-08-15
/disc/141A0/140120260808515896.pdf	141A	2026-08-10	2026年7月度 月次売上高速報(小売)	7月度の既存店売上高はトライアルが4.0%増、西友が8.9%増となり、両セグメントで客数も増加。トライアルは7ヵ月連続増収、西友はPB商品などが来店動機となり2ケタ客数増を達成した。	好材料	2026-08-15
/disc/141A0/140120260813518769.pdf	141A	2026-08-13	通期連結業績予想と実績値との差異及び剰余金の配当(増配)に関するお知らせ	2026年6月期の実績は売上高1兆3471億円、営業利益303億円、経常利益201億円、純利益35億円と前回予想を全項目で上回り、期末配当を16円から17円に増配した。売上総利益の堅調推移と特別損失の減少が要因。	好材料	2026-08-15
/disc/141A0/140120260808515899.pdf	141A	2026-08-13	2026年6月期 決算短信〔日本基準〕（連結）	西友買収で子会社13社追加。売上1兆3471億円（+67.6%）、営業益304億円（+43.9%）増も経常益202億円（-9.1%）、純益35億円（-70.0%）減。配当17円増配、自己資本16.2%に低下。	中立	2026-08-15
/disc/160A0/140120240403565592.pdf	160A	2024-04-04	親会社以外の支配株主及び主要株主の異動に関するお知らせ	上場時の公募増資と売出しにより、社長の植村健志の議決権所有割合が59.08%→4.73%に低下し、支配株主・主要株主から外れた。経営体制への影響はないとしている。		2026-08-13
/disc/160A0/140120240403565587.pdf	160A	2024-04-04	東京証券取引所スタンダード市場への上場に伴う当社決算情報等のお知らせ	アズパートナーズが東証スタンダード市場へ上場し、2024年3月期は売上高171億1600万円（前期比33.9%増）、当期純利益5億600万円（同120.5%増）を見込む。	好材料	2026-08-15
/disc/160A0/140120240501580467.pdf	160A	2024-05-01	第三者割当増資の結果に関するお知らせ	野村證券に対し13万1千株を1億606円50銭で発行し、介護施設開設等の資金調達を実施した。	中立	2026-08-15
/disc/160A0/140120240514594907.pdf	160A	2024-05-14	剰余金の配当に関するお知らせ	24年3月期期末配当を1株38円と決定。前期実績の800円（分割前）や直近予想の33.99円を上回る水準。	好材料	2026-08-15
/disc/160A0/140120240513593434.pdf	160A	2024-05-14	2024年３月期 決算短信〔日本基準〕（非連結）	2024年3月期は売上高1兆7150億円、営業利益8億500万円と大幅増収増益。配当は期末38円（前期比4.75倍）。	好材料	2026-08-15
/disc/160A0/140120240523505287.pdf	160A	2024-05-23	資金の借入に関するお知らせ	新設介護施設「アズハイム所沢」の設備資金としてみずほ銀行から1,920百万円の借入を決議。会社は25年3月期の業績への影響は軽微と説明	中立	2026-08-15
/disc/160A0/140120240527508337.pdf	160A	2024-05-27	リースによる固定資産の賃借に関するお知らせ	アズパートナーズは介護付きホーム「アズハイム小平」を2,997百万円でリースし、2026年10月引渡し予定。25年契約で事業展開を図る。	中立	2026-08-15
/disc/160A0/140120240626537442.pdf	160A	2024-06-26	資金の借入に関するお知らせ	足立六町の設備資金としてりそな銀行から2,900百万円を借入。2025年3月期の業績への影響は軽微と説明	中立	2026-08-15
/disc/160A0/140120240813571107.pdf	160A	2024-08-14	2025年３月期 第1四半期決算短信 〔日本基準〕（非連結）	25年3月期第1四半期の売上高は39億87百万円、純損失は3183万円の赤字。通期予想は据え置きで増収増益を維持。	好材料	2026-08-15
/disc/160A0/140120240925588613.pdf	160A	2024-09-25	販売用不動産（アズハイム三鷹 土地・建物）の売却に関するお知らせ	アズパートナーズは2025年3月期第2四半期に「アズハイム三鷹」を売却し、売上高の10%以上・営業利益の30%以上の影響を見込む。	好材料	2026-08-15
/disc/160A0/140120241031507675.pdf	160A	2024-10-31	リースによる固定資産の賃借に関するお知らせ	アズパートナーズは介護付きホーム「アズハイム葛飾青砥」を25年間で総額2,512百万円でリースし、2028年3月期の開設を目指す。	中立	2026-08-15
/disc/160A0/140120241113521116.pdf	160A	2024-11-13	株主優待制度の導入に関するお知らせ	2024年12月より、単元株保有者に介護付有料老人ホームの利用料金を割引する優待制度を導入。投資魅力向上が目的	中立	2026-08-15
/disc/160A0/140120241112520342.pdf	160A	2024-11-13	2025年３月期 第２四半期（中間期）決算短信〔日本基準〕（非連結）	アズパートナーズは2025年3月期中間期売上高106億円、経常利益13億3千万円を計上。通期予想は売上178億4200万円（前年比4.0%増）、経常利益12億2900万円（同42.0%増）で据え置き。	好材料	2026-08-15
/disc/160A0/140120241122527761.pdf	160A	2024-11-22	リースによる固定資産の賃借に関するお知らせ	アズパートナーズは「アズハイム府中」を25年3,534百万円でリースし、介護事業を展開。2025年3月期の業績影響は軽微。	中立	2026-08-15
/disc/160A0/140120250130558021.pdf	160A	2025-01-30	（開示事項の変更）固定資産（土地）の取得に関するお知らせ	アズパートナーズが「アズハイム小平」のリースから土地取得へ変更し、1,130百万円で取得。2027年開設予定で当期業績への影響は軽微。	中立	2026-08-15
/disc/160A0/140120250213571997.pdf	160A	2025-02-13	2025年３月期 第３四半期決算短信〔日本基準〕（非連結）	売上高141億6千万円（前年比10.5%増）、営業利益13億1千万円（同103.0%増）の第3四半期決算。業績予想は据え置き。	好材料	2026-08-15
/disc/160A0/140120250317594936.pdf	160A	2025-03-17	組織変更及び人事異動に関するお知らせ	4月1日付で事業本部・管理本部を新設し、役員と部長の人事異動を実施。	中立	2026-08-15
/disc/160A0/140120250324598384.pdf	160A	2025-03-24	資金の借入に関するお知らせ	アズパートナーズは、介護付きホーム「アズハイム小平」の設備資金として三井住友銀行から2,660百万円の借入を決議。会社は当期業績への影響は軽微と説明	中立	2026-08-15
/disc/160A0/140120250411513381.pdf	160A	2025-04-11	販売用不動産の売買契約の締結に関するお知らせ	介護施設2物件を売却しリースバックで運営継続。25年3月期売上高の10%以上、営業利益の30%以上のプラス影響を見込む。	好材料	2026-08-15
/disc/160A0/140120250425524593.pdf	160A	2025-04-25	（訂正）「販売用不動産の売買契約の締結に関するお知らせ」の一部訂正について	4月11日公表の販売用不動産売買契約に関するお知らせで、自社を賃借人とする賃貸借契約が「締結済み」から「締結予定」へ訂正。公表時点では契約締結予定段階だったため。	判断できない	2026-08-15
/disc/160A0/140120250428525759.pdf	160A	2025-04-28	リースによる固定資産の賃借に関するお知らせ	介護施設2物件を売却し25年リースバックで賃借。総額59.78億円。資金流動化と事業拡大が目的。業績影響は軽微。	中立	2026-08-15
/disc/160A0/140120250428525747.pdf	160A	2025-04-28	(開示事項の経過）販売用不動産の売却決済完了に関するお知らせ	介護施設2物件の売却決済が完了。2025年3月期売上高の10%以上、営業利益の30%以上に相当する損益影響を見込み、2026年3月期業績予想に織り込み予定。	好材料	2026-08-15
/disc/160A0/140120250514550147.pdf	160A	2025-05-14	配当方針の変更及び剰余金の配当（増配）に関するお知らせ	配当方針を「配当性向20%以上かつDOE5%以上」に変更し、25年3月期期末配当を45.79円から55.00円に増配。総額1.97億円。	好材料	2026-08-15
/disc/160A0/140120250514550182.pdf	160A	2025-05-14	譲渡制限付株式報酬制度の導入に関するお知らせ	取締役（社外除く）向けに年額60百万円・年3.2万株上限の譲渡制限付株式報酬を新設し、株主総会で承認を求める。企業価値向上と株主との価値共有が目的だが、希薄化と報酬増の懸念もある。	中立	2026-08-15
/disc/160A0/140120250514550231.pdf	160A	2025-05-14	ストックオプション（新株予約権）の発行に関するお知らせ	取締役・従業員向けにストックオプション180個（最大1.8万株、発行済株式の約0.5%）を発行。業績・企業価値向上への意欲向上が目的。行使価額は市場価格、希薄化は軽微。	中立	2026-08-15
/disc/160A0/140120250514550034.pdf	160A	2025-05-14	2025年３月期決算短信〔日本基準〕（非連結）	25年3月期は売上高179億円(前期比4.5%増)、純利益9.6億円(同69.8%増)。配当55円に増配、26年3月期は売上239億円、純利益10.6億円、配当65円を計画。	好材料	2026-08-15
/disc/160A0/140120250625599429.pdf	160A	2025-06-25	譲渡制限付株式報酬としての新株式の発行に関するお知らせ	取締役ら9名に譲渡制限付株式報酬として普通株式4,400株（発行価額2,603円、総額1,145万円）を割当。株主との価値共有と企業価値向上のインセンティブが目的。	中立	2026-08-15
/disc/160A0/140120250625599464.pdf	160A	2025-06-25	ストックオプション（新株予約権）の発行に関するお知らせ	取締役・従業員18名に第2回新株予約権142個（最大1.42万株）を無償割当。行使期間は2027年7月〜2035年7月、行使価額は市場価格相当。	中立	2026-08-15
/disc/160A0/140120250724519757.pdf	160A	2025-07-24	譲渡制限付株式報酬としての新株式の発行の払込完了に関するお知らせ	譲渡制限付株式報酬として普通株式4,400株（発行価額2,603円、総額約1,145万円）を取締役4名ら9名に割り当て払込完了。希薄化は軽微でインセンティブ付与が目的。	中立	2026-08-15
/disc/160A0/140120250724519781.pdf	160A	2025-07-24	ストックオプション（新株予約権）発行内容の確定に関するお知らせ	2025年6月25日決議のストックオプションについて、取締役4名・執行役員3名・従業員11名の計18名に142個（14,200株）を割当、行使価額1個259,100円（1株2,591円）で確定。	中立	2026-08-15
/disc/160A0/140120250729522103.pdf	160A	2025-07-29	（訂正）「ストックオプション（新株予約権）の発行に関するお知らせ」の一部訂正について	ストックオプションの行使期間を2035年7月24日から6月24日に1か月短縮する訂正。発行条件の誤記修正で株主への影響はない。	中立	2026-08-15
/disc/160A0/140120250814541623.pdf	160A	2025-08-14	（開示事項の変更）リースによる固定資産の賃借に関するお知らせ	介護施設「アズハイム葛飾青砥」の賃借契約を変更、定員91→95名、リース料総額2,512→2,569百万円に増額。2028年3月期開業予定で2026年3月期業績への影響は軽微。	中立	2026-08-15
/disc/160A0/140120250814541523.pdf	160A	2025-08-14	2026年３月期 第１四半期決算短信〔日本基準〕（非連結）	第1四半期売上8,991百万円（+125.5%）、営業益1,413百万円で黒字転換。通期予想据え置き、増配予定。	好材料	2026-08-15
/disc/160A0/140120251113599648.pdf	160A	2025-11-14	2026年３月期 第２四半期（中間期）決算短信〔日本基準〕（非連結）	2Q売上高136億円(前年比28.5%増)、営業益15.3億円(同17.3%増)で増収増益。シニア・不動産両事業好調。通期予想据え置き。	好材料	2026-08-15
/disc/160A0/140120251120506499.pdf	160A	2025-11-20	株式の立会外分売に関するお知らせ	主要株主MIRARTHホールディングス保有株175,000株を立会外分売し、株式分布改善と流動性向上を図る。分売期間は12月1日～3日、値段は前日終値基準。	悪材料	2026-08-15
/disc/160A0/140120251128511417.pdf	160A	2025-11-28	株式の立会外分売実施に関するお知らせ	主要株主MIRARTHホールディングスの売却意向を受けた分売。会社発の資本政策ではない。値段2,360円は前日終値2,432円から2.96%のディスカウント。		2026-08-13
/disc/160A0/140120251128511890.pdf	160A	2025-12-01	株式の立会外分売終了及び主要株主の異動の概要に関するお知らせ	MIRARTHホールディングスが175,000株を2,360円で立会外分売。議決権14.46%→9.57%となり主要株主から外れた。大株主順位は第2位のまま。		2026-08-13
