コード	企業名	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
4259	エクサウィザーズ	2021/12/23	1050	1150	1150	1030	1050	1150	石山 洸（上場時39歳10カ月）／1982年生	39	2016	233	51	100000000	79308000	32407200	12.3	79.0	8.6	採用費・人件費、ソフトウエア開発投資、研究開発費、マーケティング投資、運転資金、借入金の返済	83273400000	41.06	24.97	16.09	0	0	2.19	21.549999999999997	1.87	"春田真	取締役会長	9212000	10.64
古屋俊和	創業者	8750000	10.11
(株)ﾍﾞｰﾀｶﾀﾘｽﾄ	役員らが議決権の過半数を所有する会社	8685000	10.03
(株)INCJ	ベンチャーキャピタル（ファンド）	6891400	7.96
ｱｲｴｽｼﾞｰｴｽ1号投組	ベンチャーキャピタル（ファンド）	6793000	7.85
D4V1号投組	ベンチャーキャピタル（ファンド）	4966500	5.74
坂根裕	取締役	4720000	5.45
石山洸	代表取締役社長	4184000	4.83
竹林洋一	特別利害関係者など	3925000	4.53
浅谷学嗣	従業員（AIエンジニアリングフェロー）	1900000	2.19
SOMPOﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	資本業務提携先	1618000	1.87"
9255	ZEALS	2021/12/23	1530				1220	1420	清水 正大（上場時29歳11カ月）／1992年生	29	2014	179	13	100000000	15240000	8524700	29.3	57.6	13.0	人件費、業務委託費・非正規社員人件費、採用費、地代家賃、サーバー代、広告宣伝費、研究開発費・海外展開費用、借入金返済	23317200000	35.18	32.75	2.43	0	0	0.58	27.08	0	"清水正大	代表取締役	4528000	32.75
(株)ﾌﾘｰｸｱｳﾄ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	その他の関係会社	3107200	22.47
ｼﾞｬﾌｺSV5共有投組	ベンチャーキャピタル（ファンド）	2714000	19.63
(株)ｻｲﾊﾞｰｴｰｼﾞｪﾝﾄ	取引先	920000	6.65
ｼﾞｬﾌｺSV5ｽﾀｰ投組	ベンチャーキャピタル（ファンド）	490000	3.54
YJ3号投組	ベンチャーキャピタル（ファンド）	324000	2.34
遠藤竜太	取締役ＣＯＯ	256000	1.85
FreakOut Shinsei Fund 1号投組	ベンチャーキャピタル（ファンド）	216800	1.57
(株)ｳｨﾙｸﾞﾙｰﾌﾟ	特別利害関係者など	212000	1.53
伊東秀男	取締役	80000	0.58
佐藤彗斗	従業員	80000	0.58
猪木俊宏	監査役	56000	0.41"
4125	三和油化工業	2021/12/23	3030	3500	4000	4020	3100	3500	柳 均（上場時46歳1カ月）／1975年生	46	1970	245	64	120000000	4286000	1012000	87.0	0.0	13.0	設備投資	12986580000	62.71000000000001	61.650000000000006	1.06	0	0	0	0	0	"(有)ｴﾑｴﾑｴｽ	役員らが議決権の過半数を所有する会社	700000	20.55
柳忍	代表取締役社長の血族	500000	14.68
柳均	代表取締役社長執行役員など	500000	14.68
柳至	代表取締役社長の血族、子会社の取締役	400000	11.74
三和油化社員持株会	特別利害関係者など	396000	11.63
豊田通商(株)	取引先	336000	9.86
碧海信用金庫	特別利害関係者など	168000	4.93
(株)十六銀行	取引先	160000	4.7
南海化学(株)	取引先	46000	1.35
内田清志	子会社の取締役	36000	1.06"
4260	ハイブリッドテクノロジーズ	2021/12/23	460	500	800	730	460	500	ﾁｬﾝ ﾊﾞﾝ ﾐﾝ（上場時35歳6カ月）／1986年生	35	2016	59	8	247193000	10758148	2868700	90.6	2.4	7.0	人件費、採用費、マーケティング投資	4948748080	56.029999999999994	9.02	4.35	0	42.66	1.38	0	0	"Soltec Investments Pte. Ltd.	親会社	3952993	42.66
(株)ｴｱﾄﾘ	その他の関係会社	3115155	33.61
ﾁｬﾝﾊﾞﾝﾐﾝ	代表取締役社長	835700	9.02
Evolable Asia Co., Ltd.	その他の関係会社の子会社	350000	3.78
平川和真	取締役ＣＦＯ	234900	2.53
窪田陽介	取締役	168250	1.82
陳忠誠	事業共同考案者	97450	1.05
Phan Van Trung	従業員	64200	0.69
Nguyen Huu Binh	従業員	64200	0.69
NiceGuys Vision(株)	特別利害関係者など	56500	0.61"
7134	クルーバー	2021/12/23	2160	2160	2000	1800	1760	2160	石田 誠（上場時61歳7カ月）／1960年生	61	2014	37	6	10000000	2624500	784800	65.3	21.7	13.0	システム開発投資、国内新規出店・改修投資、海外新規出店投資	5668920000	96.41000000000001	93.01	3.4000000000000004	0	0	0.27999999999999997	0	0	"(株)E&E	役員らが議決権の過半数を所有する会社	2018100	93.01
菅沼一孝	取締役	21100	0.97
大塚康雄	取締役	21100	0.97
河野映彦	取締役	21100	0.97
ｸﾙｰﾊﾞｰ従業員持株会	特別利害関係者など	20000	0.92
渡辺剛伸	子会社の取締役	10600	0.49
佐藤大介	従業員	1200	0.06
岩城由悟	従業員	1200	0.06
菅原正巳	従業員	1200	0.06
山本直人	従業員	1100	0.05
山中章功	従業員	1100	0.05"
4258	網屋	2021/12/22	1970	1970	2600	2100	1700	1970	伊藤 整一（上場時63歳4カ月）／1958年生	63	1996	128	59	50000000	4000000	1184000	36.3	50.7	13.0	広告宣伝費、人材採用費・教育費、研究開発費、借入金返済	7880000000	60.39	57.53	2.86	0	0	6.280000000000001	9.81	0	"(株)ﾁｬｸﾙ	役員らが議決権の過半数を所有する会社	1164800	28.56
石田晃太	代表取締役社長	727200	17.83
伊藤整一	代表取締役会長	454400	11.14
投資事業組合ｵﾘｯｸｽ9号	ベンチャーキャピタル（ファンド）	400000	9.81
(株)ｾｷｭｱｳﾞｪｲﾙ	特別利害関係者など	176000	4.32
網屋従業員持株会	特別利害関係者など	149900	3.68
柴崎正道	取締役CISO	116800	2.86
新納隆広	従業員	100800	2.47
加藤光栄	従業員	84800	2.08
山崎勝巳	従業員	70400	1.73"
9256	サクシード	2021/12/22	1450	1560	2000	1671	1420	1560	高木 毅（上場時54歳4カ月）／1967年生	54	2004	86	7	64000000	3475000	862500	43.5	43.5	13.0	個別指導教室の新規出店、新規拠点の設置、人材の育成・採用、東京本社増床	5038750000	86.53999999999999	72.14	14.399999999999999	0	0	0.15	0	0	"高木毅	代表取締役社長	2350000	72.14
佐藤幹雄	特別利害関係者など	375000	11.51
石川修一	取締役	150000	4.6
前原裕明	取締役	150000	4.6
斉藤博志	取締役	50000	1.53
佐藤純	取締役	50000	1.53
森峰志	取締役	50000	1.53
泓田翔平	取締役	12500	0.38
植田庸平	取締役	7500	0.23
松島茂樹	監査役	5000	0.15
福﨑超	従業員	5000	0.15"
9522	リニューアブル・ジャパン	2021/12/22	1720	1800	1700	1663	1720	1800	真辺 勝仁（上場時56歳0カ月）／1965年生	56	2012	255	46	2109525000	28412000	5256600	49.5	37.5	13.0	太陽光発電所開発資金、太陽光発電所取得資金	48868640000	45.9	41.82	4.08	0	0	0	10.86	30.25	"(株)H&Tｺｰﾎﾟﾚｰｼｮﾝ	役員らが議決権の過半数を所有する会社	10640000	37.87
東急不動産(株)	資本業務提携先	4100000	14.59
Shanghai Alliance Financial Services Co.,Ltd.	ベンチャーキャピタル（ファンド）	2550000	9.08
ENEOS(株)	資本業務提携先	2200000	7.83
関西電力(株)	資本業務提携先	2200000	7.83
ﾔﾝﾊﾟﾝ	取締役	1146000	4.08
真辺勝仁	代表取締役社長	1110000	3.95
JAICｿｰﾗｰ投組	ベンチャーキャピタル（ファンド）	500000	1.78
JA三井ﾘｰｽ(株)	特別利害関係者など	250000	0.89
(株)あおぞら銀行	特別利害関係者など	250000	0.89
三菱UFJｷｬﾋﾟﾀﾙ5号投組	特別利害関係者など	250000	0.89"
4419	Finatextホールディングス	2021/12/22	1290	1290	1193	990	1100	1290	林 良太（上場時36歳0カ月）／1985年生	36	2013	13	22	176562000	48754628	17796900	15.7	71.2	13.0	運転資金、子会社資本増強、借入金の返済、設備資金	62893470120	43.949999999999996	38.12	5.83	0	0	0	25.42	12.78	"林良太	代表取締役社長CEOなど	19109330	38.12
auﾌｨﾅﾝｼｬﾙﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	資本業務提携先	6406685	12.78
UTEC3号投組	ベンチャーキャピタル（ファンド）	5794658	11.56
ｼﾞｬﾌｺSV5共有投組	ベンチャーキャピタル（ファンド）	5003482	9.98
伊藤祐一郎	取締役CFOなど	1797874	3.59
伊藤英佑	新株予約権信託の受託者	1719000	3.43
(株)GCIｷｬﾋﾟﾀﾙ	取引先	1430625	2.85
ｼﾞｬﾌｺSV5ｽﾀｰ投組	ベンチャーキャピタル（ファンド）	1250000	2.49
渡辺努	特別利害関係者など	1198800	2.39
戸田真史	取締役など	1122220	2.24
(株)日本経済新聞社	特別利害関係者など	933408	1.86
(株)SMBC信託銀行　特定金外信託口12100440	ベンチャーキャピタル（ファンド）	696379	1.39"
4255	THECOO	2021/12/22	7180	7200	7500	6100	7000	7200	平良 真人（上場時48歳0カ月）／1973年生	48	2014	91	25	90000000	2021355	575800	34.7	52.2	13.0	広告宣伝費・販売促進費、人材採用費・人件費、本社オフィス移転費用、海外展開費用、借入金返済	14513328900	35.19	28.07	7.12	0	0	0	30.720000000000002	0	"(株)ﾊｲｱﾝﾄﾞﾄﾞﾗｲ	代表取締役の資産管理会社	419000	20.96
YJ2号投組	ベンチャーキャピタル（ファンド）	184970	9.25
平良真人	代表取締役CEO	142200	7.11
NVCC8号投組	ベンチャーキャピタル（ファンド）	117750	5.89
武井哲也	特別利害関係者など	102000	5.1
NVCC7号投組	ベンチャーキャピタル（ファンド）	100000	5.0
D4V1号投組	ベンチャーキャピタル（ファンド）	90303	4.52
原田潤	新株予約権信託の受託者	90000	4.5
HSｱｾｯﾄﾏﾈｼﾞﾒﾝﾄ(株)	取締役の資産管理会社	71200	3.56
DX Ventures(株)	取締役の資産管理会社	71200	3.56
(株)ｿﾆｰ･ﾐｭｰｼﾞｯｸｴﾝﾀﾃｲﾝﾒﾝﾄ	取引先	60606	3.03
ｴｽﾌｧｲﾌﾞ1号投組	ベンチャーキャピタル（ファンド）	60606	3.03
i-nest1号投組	ベンチャーキャピタル（ファンド）	60606	3.03"
4256	サインド	2021/12/22	2940	3250	3300	2990	2940	3250	奥脇 隆司（上場時33歳3カ月）／1988年生	33	2011	63	4	1000000	5800000	1541000	51.9	35.0	13.0	運転資金、設備資金、借入金の返済	17052000000	91.76	80.34	11.420000000000002	0	0	4.010000000000001	0	0	"奥脇隆司	代表取締役社長	2400000	43.82
高橋直也	代表取締役副社長	2000000	36.52
亀井信吾	取締役	450000	8.22
池田英右	執行役員	175000	3.2
安留但馬	従業員	45000	0.82
辻章一	従業員	35000	0.64
正田誠	従業員	27500	0.5
松野晃大	従業員	22500	0.41
織田辰也	従業員	22500	0.41
児玉寛典	従業員	22500	0.41
飯塚和弘	従業員	22500	0.41
長谷泰史	従業員	22500	0.41"
9254	ラバブルマーケティンググループ	2021/12/21	1170	1260	2900	4845	1170	1260	林 雅之（上場時49歳9カ月）／1972年生	49	2014	16	29	136760000	1396275	393800	54.6	32.4	13.0	人件費、採用費・教育費、借入金の返済	1633641750	50.81999999999999	47.959999999999994	2.8600000000000003	0	0	0	0	0	"(同)みやびﾏﾈｰｼﾞﾒﾝﾄ	役員らが議決権の過半数を所有する会社	491250	36.17
(株)日比谷ｺﾝﾋﾟｭｰﾀｼｽﾃﾑ	その他の関係会社	354400	26.1
林雅之	代表取締役社長	102114	7.52
長谷川直紀	執行役員、子会社の代表取締役社長	58000	4.27
佐々木博之	特別利害関係者など	57450	4.23
横山隆治	特別利害関係者など	39375	2.9
島田亨	-	36750	2.71
田村慶	特別利害関係者など	32500	2.39
鵜川太郎	取締役	24025	1.77
佐藤寛次郎	特別利害関係者など	23600	1.74
竹内美稀	執行役員	14775	1.09
ｴﾙ･ｴﾑ･ｼﾞｰ社員持株会	特別利害関係者など	13937	1.03"
2585	ライフドリンクカンパニー	2021/12/21	1510	1535	1427	1427	1510	1535	岡野 邦昭（上場時46歳8カ月）／1975年生	46	1972	390	8	100000000	12550500	4167900	31.8	55.2	13.0	設備投資	18951255000	2.3200000000000003	1.28	1.04	0	0	0	70.6	0	"Sunrise Capital II, L.P.	ベンチャーキャピタル（ファンド）	4015200	34.21
SunriseCapitalII(Non-US), L.P.	ベンチャーキャピタル（ファンド）	3577200	30.48
田中利子	特別利害関係者など	1290000	10.99
Sunrise Capital II (JPY), L.P.	ベンチャーキャピタル（ファンド）	693600	5.91
田中将雄	特別利害関係者など	682500	5.81
田中頼広	特別利害関係者など	322500	2.75
田中頼成	特別利害関係者など	322500	2.75
湯川照美	特別利害関係者など	322500	2.75
岡野邦昭	代表取締役社長	150000	1.28
服部晃幸	執行役員	30000	0.26
橋本知久	執行役員	30000	0.26
小松靖丈	執行役員	30000	0.26
神野博之	執行役員	30000	0.26"
6524	湖北工業	2021/12/21	3840	4000	4500	5300	3840	4000	石井 太（上場時63歳4カ月）／1958年生	63	1959	160	3	350000000	9000000	2990000	53.5	33.4	13.0	設備投資	34560000000	98.22	96.12	2.1	0	0	0	0	0	"石井太	代表取締役社長	7110000	96.12
湖北工業従業員持株会	特別利害関係者など	120000	1.62
北川一清	常務取締役執行役員	19100	0.26
国友啓行	取締役執行役員	17200	0.23
加藤隆司	常務取締役執行役員	17200	0.23
荒木治人	取締役執行役員	17200	0.23
鈴木基司	取締役執行役員	17200	0.23
高原誠	上席執行役員	17200	0.23
山田大元	執行役員	17200	0.23
山崎学	上席執行役員	17200	0.23
山下真弘	執行役員	17200	0.23"
4417	グローバルセキュリティエキスパート	2021/12/20	2770	2800	3000	4020	2680	2800	青柳 史郎（戸籍名：鱸 史郎、上場時46歳1カ月）／1975年生	46	1984	112	8	291800000	3327000	690000	21.7	65.2	13.0	サービス開発投資・運用費、システム開発投資、資本業務提携に係る投資、借入金返済	9215790000	79.56	4.88	1.56	0	73.12	0.73	0	10.959999999999999	"(株)ﾋﾞｼﾞﾈｽﾌﾞﾚｲﾝ太田昭和	親会社	2700000	73.12
兼松ｴﾚｸﾄﾛﾆｸｽ(株)	資本業務提携先	300000	8.12
(株)野村総合研究所	資本提携先	105000	2.84
鱸史郎	代表取締役社長	80400	2.18
原伸一	代表取締役副社長	72000	1.95
与儀大輔	常務取締役	30000	0.81
吉見主税	取締役	27600	0.75
三木剛	取締役西日本支社長	27600	0.75
鈴木貴志	従業員	15000	0.41
伊藤昇	従業員	11700	0.32"
4418	JDSC	2021/12/20	1620	1680	1700	1681	1620	1680	加藤 聡志（上場時41歳4カ月）／1980年生	41	2018	55	23	100000000	12811700	2806000	14.3	72.7	13.0	人件費、研究開発費、通信費	20754954000	39.86	38.31	1.55	0	0	2.01	32.34	0	"加藤聡志	代表取締役社長	5300400	38.31
UTEC4号投組	ベンチャーキャピタル（ファンド）	2725100	19.7
(株)SMBC信託銀行(特定金外信託未来創生2号ﾌｧﾝﾄﾞ)	ベンチャーキャピタル（ファンド）	1749300	12.64
金井正義	新株予約権信託の受託者	1010800	7.31
ｺﾀｴﾙ信託(株)（信託口）	包括的信託契約の受託者	872200	6.3
淵高晴	特別利害関係者など	400400	2.89
橋本圭輔	従業員	277900	2.01
ﾀﾞｲｷﾝ工業(株)	取引先	233100	1.68
中部電力(株)	特別利害関係者など	233100	1.68
中村大介	執行役員	119700	0.87
大杉慎平	取締役CDSO	93800	0.68
(株)トーハン	特別利害関係者など	93100	0.67"
7133	HYUGAPRIMARY CARE	2021/12/20	2510	2600	2800	3640	2420	2600	黒木 哲史（上場時43歳9カ月）／1978年生	43	2007	333	45	104742000	3460700	351200	14.2	72.8	13.0	システム開発費、人材の採用費	8686357000	37.06	31.5	5.5600000000000005	0	0	0	12.26	0	"黒木哲史	代表取締役社長	729300	19.48
(一社)Hyuga	役員らが議決権の過半数を所有する会社	450000	12.02
(株)ｼｰﾕｰｼｰ	その他の関係会社の子会社	420000	11.22
ｴﾑｽﾘｰ(株)	その他の関係会社	349800	9.34
SMBCﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ2号投組	ベンチャーキャピタル（ファンド）	264000	7.05
ｴﾑｽﾘｰｷｬﾘｱ(株)	その他の関係会社の子会社	250200	6.68
九州ｱﾝﾄﾚﾌﾟﾚﾅｰｸﾗﾌﾞ投組	ベンチャーキャピタル（ファンド）	195000	5.21
ｺﾀｴﾙ信託(株)	新株予約権信託の受託者	140700	3.76
山崎武夫	取締役	108000	2.88
城尾浩平	取締役	100200	2.68
別府鵬飛	特別利害関係者など	90000	2.4
(株)ｵﾌｨｽｴﾑ	特別利害関係者など	72000	1.92"
4416	True Data	2021/12/16	2220	2220	2700	2250	2000	2220	米倉 裕之（上場時55歳6カ月）／1966年生	55	2000	77	31	1160510000	4609400	1418400	12.0	75.0	13.0	新規採用費・人件費、システム開発、借入金の返済、研究開発費、広告宣伝費	10232868000	4.73	4.73	0	0	0	0	22.34	6.72	"(株)ﾌﾟﾗﾈｯﾄ	その他の関係会社	1176000	24.7
(株)INCJ	ベンチャーキャピタル（ファンド）	1063400	22.34
(株)ﾃﾞｼﾞﾀﾙｶﾞﾚｰｼﾞ	資本業務提携先	320000	6.72
AGBNielsenMediaResearchB.V.	特別利害関係者など	320000	6.72
第一生命保険(株)	特別利害関係者など	300000	6.3
米倉裕之	代表取締役社長	225000	4.73
(株)ﾀｹｵﾎｰﾙﾃﾞｨﾝｸﾞｽ	帝国ﾃﾞｰﾀﾊﾞﾝｸのｸﾞﾙｰﾌﾟ管理会社	170000	3.57
(株)ﾄﾞｺﾓ･ｲﾝｻｲﾄﾏｰｹﾃｨﾝｸﾞ	特別利害関係者など	170000	3.57
(株)博報堂	特別利害関係者など	170000	3.57
(株)博報堂ﾌﾟﾛﾀﾞｸﾂ	特別利害関係者など	170000	3.57"
