ID	業種	事業内容
Q046	サービス業	データを活用したマーケティング分析サービスの提供
Q047	サービス業	産業廃棄物の収集運搬、中間処理、最終処分。一般廃棄物の収集運搬、中間処理。
Q048	情報・通信業	システム開発およびインフラ・セキュリティサービスの提供
Q049	保険業	個人および法人向けの保険販売をおこなう保険販売事業、保険代理店やその他の保険販売会社に対して保険に関するソリューションを提供するソリューション事業およびシステム開発などをおこなっているシステム事業
Q050	サービス業	24時間365日・多言語対応コンタクトセンター運営事業、セールスアウトソーシング事業
Q051	情報・通信業	遊休不動産などのスペースの貸し借りのプラットフォームである『スペースマーケット』の運営など
Q052	情報・通信業	個人認証、マーケティング、コミュニケーションなどを目的とした企業から個人向けSMS（ショートメッセージ）配信サービス事業
Q053	食料品	水産原料素材の調達から製造・販売までを一貫しておこなう食品製造販売
Q054	不動産業	飲食店向けの店舗物件に特化した店舗賃貸事業
Q055	サービス業	アドネットワーク等インターネット広告サービス事業
Q056	サービス業	海外・国内の現地体験型オプショナルツアー専門のオンライン予約サイトの運営
Q057	小売業	餃子居酒屋『ダンダダン酒場』の直営及びFC運営事業
Q058	サービス業	キャリアショップを中心とした販売チャネルに対する研修コンサルティング、セールスプロモーションなど
Q059	情報・通信業	教育用ソフトウェア、ネットワークおよびシステムの企画・開発及び販売
Q060	情報・通信業	医療データベースの構築と提供、PHRなどの健康増進サービス、画像診断などの遠隔医療、調剤薬局へのデジタルソリューションの提供
Q061	小売業	婦人靴の企画、販売
Q062	不動産業	不動産の売買、賃貸借、管理
Q063	卸売業	医療機関向けに医療機器及び医療設備を販売するメディカルトータルソリューション事業、医療用画像の遠隔診断をおこなう遠隔画像診断サービス事業、介護福祉施設向けに給食サービスを提供する給食事業
Q064	サービス業	クルーズ旅行に特化したオンライン旅行予約サイト『ベストワンクルーズ』の運営など
Q065	情報・通信業	クレジットカード、デビットカード、電子マネー、ポイントなどによる対面型決済をおこなう決済端末の提供および決済処理サービス
Q066	サービス業	接骨院などの経営支援をおこなう接骨院ソリューション事業、保険代理店や金融商品仲介業をおこなう金融サービス事業
Q067	情報・通信業	クラウド型ECプラットフォーム構築事業
Q068	情報・通信業	企業向けクラウドセキュリティサービス『HENNGE One』の提供
Q069	建設業	不動産物件のリフォーム工事
Q070	サービス業	情報キュレーションアプリ『Gunosy』を運営
Q071	サービス業	インサイドセールス（電話やWebなどの非対面営業）に関するアウトソーシング受託業務を主軸にした法人営業改革支援
Q072	不動産業	学生向け物件を中心とした不動産賃貸管理事業、高齢者住宅事業およびその他の事業
Q073	情報・通信業	上場企業と機関投資家および個人投資家をクラウド上でつなぐ、機関投資家マーケティングツール『IR-navi』および個人投資家マーケティングツール『プレミアム優待倶楽部』の提供、ならびに統合報告などのESGコンテンツの企画・制作
Q074	情報・通信業	サーバー技術を用いたデータ配信、分析・処理を主としたインターネット事業
Q075	不動産業	不動産の開発、販売、賃貸、管理、仲介業、介護事業
Q076	サービス業	著作権など管理事業、デジタルコンテンツディストリビューション事業、キャスティング・コンサルティング事業など
Q077	情報・通信業	ITシステム開発（グローバル製造業、社会情報インフラ、モバイル）およびITソリューション・サービスの提供を中核とする総合情報サービス事業
Q078	情報・通信業	中小企業向け経営支援プラットフォーム『Big Advance』およびAIモジュール『FAI』の開発・提供など
Q079	サービス業	不動産投資のポータルサイト“楽待（らくまち）”の運営
Q080	情報・通信業	資産運用を支援するプラットフォーム『ZUU online』を中心とした金融商品やフィンテックサービスとユーザーのマッチングをおこなうフィンテック・プラットフォーム事業
Q081	不動産業	不動産の開発、売買、賃貸、管理および仲介業
Q082	建設業	建築サービス関連事業（リペアサービス、住環境向け建築サービス、商環境向け建築サービス、商材販売）
Q083	情報・通信業	証券システム開発事業、FX（外国為替証拠金取引）システム事業およびセキュリティ診断事業
Q084	サービス業	Ｍ＆Ａ(株式譲渡・事業譲渡・合併等の組織再編・資本提携等)の仲介業務及びこれに付随する業務
Q085	小売業	小売電気事業、ガス小売事業、電子機器の製造・販売・卸業
Q086	小売業	主に女性向けの衣料品及び服飾雑貨の企画及び販売をおこなう製造小売業（SPA）
Q087	サービス業	ホテル・レストラン・バンケットの運営
Q088	情報・通信業	コンピューターネットワークシステムに係る性能監視ソフトウェアの企画・開発及び同ソフトウェアの利用ライセンス販売、システム性能の課題・問題解決を行うコンサルティングサービスの提供
Q089	サービス業	商業施設の企画、設計、監理、施工
Q090	サービス業	家具、什器、備品、OA機器のレンタルおよび関連サービスなど
Q091	サービス業	自治体向け財源確保支援サービス
Q092	サービス業	データフィード事業、デジタル広告事業、ソーシャルメディアマーケティング関連事業
Q093	建設業	建築構造物の解体工事ならびにそれに関連する各種工事の施工監理
Q094	非鉄金属	３Ｄプリンターおよび砂型鋳造による試作品、各種部品・商品の製造、販売
Q095	機械	空調システム機器の開発・製造・販売
Q096	サービス業	ホテル事業
Q097	金属製品	シリコンウェーハの再生加工及び販売事業、半導体関係事業
Q098	情報・通信業	歯科医院向け統合システム（電子カルテ・レセプト・各種アプリケーションなど）の開発・販売
Q099	サービス業	UI/UXデザイン支援事業
Q100	サービス業	ダイレクトマーケティングを通じた営業ソリューションサービスの提供
Q101	その他製品	フィギュア、プラモデル、雑貨などを中心としたホビー関連品の企画、製造、販売など
Q102	証券商品先物	資産運用を全自動化したロボアドバイザーの開発・提供
Q103	サービス業	グループコミュニケーション支援サービス『らくらく連絡網』およびプライベートDMPサービス『pinpoint』を中心とするインターネットメディア関連事業
Q104	その他金融業	家賃債務保証
Q105	不動産業	注文住宅の請負事業などの注文住宅事業、分譲住宅販売などの不動産事業
Q106	不動産業	太陽光発電施設の開発・販売および売電事業、不動産コンサルティング
Q107	不動産業	不動産販売事業、不動産賃貸管理・仲介事業及び海外不動産事業
Q108	機械	超硬工具(耐摩耗工具)、超硬合金の製造販売
Q109	化学	光学シート、産業資材などの製造販売
Q110	医薬品	生体内に存在する幹細胞を活性化し、損傷組織の再生を誘導する医薬品・医療機器および遺伝子治療など製品の研究、開発、製造、販売
Q111	サービス業	医療関連受託事業、介護・保育事業等
Q112	陸運業	一般貨物自動車運送事業などをおこなうグループ会社の経営管理およびそれに関連する業務など
Q113	情報・通信業	キャッシュレスサービス事業、メッセージングサービス事業、データセキュリティサービス事業
Q114	情報・通信業	印刷および集客支援のシェアリングプラットフォーム『ラクスル』を中心とした印刷事業、物流のシェアリングプラットフォーム『ハコベル』を中心とした運送事業など、産業ごとのシェアリングプラットフォームの創出
Q115	情報・通信業	法人向け名刺管理サービス『Sansan』および個人向け名刺管理アプリ『Eight』の提供
Q116	化学	美容商品、トイレタリー商品、機能衣料商品などの企画販売および輸入腕時計日本総代理店業務
Q117	情報・通信業	マーケティングクラウドサービスの企画・開発・販売・導入、マーケティングに関わるコンサルティング及びサービス
Q118	サービス業	DSP「Logicad(ロジカド)」を中心とするマーケティングテクノロジー事業
Q119	サービス業	自動翻訳サービス事業、翻訳、通訳事業、企業向け語学研修事業
Q120	医薬品	眼科手術用染色剤の開発・販売、iPS細胞由来網膜色素上皮細胞の再生医療用途の研究・開発・製造
Q121	小売業	オリジナルバッグ、財布等の企画・販売
Q122	鉄鋼	解体事業、環境事業および金属事業による総合リサイクル事業
Q123	不動産業	貸会議室の運営を中心として、飲料・オプション・宿泊サービスなども展開
Q124	サービス業	エレベーターおよびエスカレーターの保守・保全業務およびエレベーターのリニューアル業務
Q125	情報・通信業	リスク検知に特化したビッグデータ解析によるソリューションの提供
Q126	情報・通信業	ゴルフ事業(「1人予約ランド」の運営等のＡＳＰサービス、ゴルフ情報誌『月刊バリューゴルフ』の発行等の広告・プロモーションサービス、サポートサービス)、広告メディア制作事業、メディカル事業
Q127	医薬品	再生医療関連事業において、医療機関から脂肪・血液由来の組織・細胞の加工業務を受託する他、医療機関に法規対応サポートの提供や医療機器を販売、コンシューマー事業において自社ブランド化粧品を販売
Q128	情報・通信業	問合せメール共有・一元管理システム等のクラウド方式による開発・販売、ITエンジニアの派遣
Q129	サービス業	ソーシャルメディアや体験を通じたファン発見・活性化・分析サービス『アンバサダープログラム』の提供
Q130	情報・通信業	画像認識ソフトウェアの開発
Q131	情報・通信業	企業向けビックデータの生成・提供、データ生成過程で培った技術を活用したサービス企画・システム開発
Q132	サービス業	一般・産業廃棄物の収集運搬・中間処理、リサイクル事業
Q133	卸売業	海外における日本食、アジア食品・食材の輸入および卸売、日本における青果物全般などの輸入卸売販売
Q134	情報・通信業	法人向けクラウドサービス事業（安否確認サービスおよびkintone連携サービスの開発・販売）
Q135	化学	各種合成樹脂製品の製造・加工・販売、および関連事業
Q136	サービス業	個別指導学習塾の運営を中心とした教育サービス事業
Q137	情報・通信業	主力サイトである『飲食店.COM』を中心とした飲食店出店・開業者及び飲食店運営者と、飲食店に関わる各事業者とを繋ぐメディアプラットフォームの運営
Q138	建設業	分譲マンションの建設事業
Q139	不動産業	飲食店等の店舗型サービスを展開する企業への経営サポートと飲食店『名代宇奈とと』の運営
Q140	サービス業	インターネット広告配信プラットフォーム（アドネットワーク）などのサービス開発から広告主のマーケティング支援サービスの提供、ならびにHRテック領域などにおけるウェブサービスの提供など
Q141	情報・通信業	クラウド人材マネジメントシステム『カオナビ』の提供
Q142	サービス業	経営コンサルティング、M&Aアドバイザリー、経営執行支援、事業再生支援
Q143	サービス業	24時間型フィットネスクラブ“エニタイムフィットネス”の日本におけるマスターフランチャイジーとしてフランチャイズシステムを運営
Q144	サービス業	顧客満足度・従業員満足度の向上のためのリサーチ業および経営コンサルティングに関する業務
Q145	情報・通信業	ハンドメイドマーケットプレイス『Creema』の運営、およびクリエイターのエンパワーメントを目的とする各種サービスの提供
Q146	情報・通信業	コンテンツプラットフォーム事業（コミック配信サービス『まんが王国』の運営など）
Q147	情報・通信業	勤怠管理、経費精算、工数管理などを一体化したクラウドサービス『TeamSpirit』などの提供
Q148	卸売業	生産者及び農産物直売所と連携し、スーパー等の直売所コーナーで委託販売を行うための物流・情報・決済のプラットフォームを提供する農家の直売所事業
Q149	不動産業	投資用新築一棟賃貸マンションの用地仕入・企画設計・施工・監理・賃貸仲介・賃貸管理など
Q150	情報・通信業	AI、クラウドインプットによる情報生成技術を活用した金融情報メディア（『みんなの株式』など）の運営ならびに金融機関向け情報系フィンテックソリューションの提供
Q151	サービス業	犬・猫向けの高度医療を行う二次診療専門動物病院
Q152	情報・通信業	業務系システム開発、組込み系システムの開発及び検証、システム運用サービス、自社開発ソフトウェア販売及びコンピュータ販売事業
Q153	サービス業	ネイルサロン『FASTNAIL』などの運営
Q154	不動産業	ITを活用したリノベーション・中古住宅流通プラットフォーム『cowcamo（カウカモ）事業』、および働く場をサブスクリプション型のサービスとして提供する『シェアードワークプレイス事業』
Q155	情報・通信業	プレスリリース配信サイト『PRTIMES』の運営等
Q156	建設業	注文住宅の企画、設計、販売、施工、監理を主な事業内容とする戸建住宅事業および不動産販売事業
Q157	化学	化粧品、健康食品、医薬品の企画および通信販売、店舗販売、卸売販売
Q158	サービス業	地域情報口コミサイト『エキテン』の運営
Q159	情報・通信業	企業向けクラウド型グループウェア製品『rakumo』の開発・販売など
Q160	不動産業	物流施設を中心とした事業用不動産の総合サービス（不動産賃貸、管理、仲介、開発、有効活用、建設、アセットマネジメント）
Q161	サービス業	カーコーティング「キーパーコーティング」等の施工
Q162	情報・通信業	総合HRMソリューションの開発・販売・サポートまでの一貫したソリューションサービスの提供
Q163	サービス業	ITフリーランスの働き方を支援し、企業向けに技術リソースのシェアリングを提供するIT人材事業、ならびにIT人材育成、ゲーム・動画制作など
Q164	サービス業	施設警備、雑踏、交通誘導警備を中心とした警備業
Q165	情報・通信業	個人、法人、自治体を対象とした各種eギフトサービスの企画・開発・運営など
Q166	その他金融業	家賃債務保証事業
Q167	情報・通信業	大手企業および半導体向上向けシステム開発・運用保守・インフラ構築、AI関連のソフトウエア開発
Q168	ガラス土石製品	耐火性能を有するゾノトライト系けい酸カルシウムを基材とする耐火・断熱材量の製造・販売・施工およびその他周辺工事の施工
Q169	情報・通信業	スマートフォンゲームアプリの開発・運営
Q170	情報・通信業	スモールビジネス向けクラウドERPサービスの提供
Q171	情報・通信業	WebサイトのUI/UX改善サービスの提供および広告/営業/販促動画制作支援により、企業の顧客体験のデジタルトランスフォーメーションを推進
Q172	電気機器	画像処理検査装置の製造・販売
Q173	機械	化学薬品等の薬液移送に使用されるケミカルポンプ及びポンプ専用コントローラ等の周辺機器の開発、製造、仕入及び販売(輸出入を含む)
Q174	情報・通信業	AI(人工知能)技術をベースにしたウェブマーケティングサービスの開発・提供
Q175	情報・通信業	システムおよびソフトウェアに対するテクニカルコンサルティングおよびエデュケーションサービス
Q176	不動産業	富裕層顧客を中心とした不動産売買、仲介、注文住宅マッチングサービスの提供および自社ポータルサイト『sumuzu』の運営
Q177	情報・通信業	ＩＴシステムにおけるＩＴインフラ及びネットワークセキュリティ製品に係る設計、販売、構築、運用、保守サービス
Q178	情報・通信業	ネットワークセキュリティ機器と独自監視システムによる運用、監視、サポートサービスの提供。ネットワークセキュリティ機器販売、ならびにネットワーク機器の調達、構築によるインテグレーションサービスの提供
Q179	卸売業	飲食店向け業務用食材などの企画・販売
Q180	情報・通信業	教育測定技術とAIを活用した次世代教育向けe-Testing/e-Learning
Q181	サービス業	イベント・PRや店頭販売などの総合プロモーション事業
Q182	サービス業	成果報酬型の経営コンサルティングの提供
Q183	サービス業	インターネットを活用した集客プラットフォームの運営事業
Q184	化学	溶剤、可塑剤原料、冷凍機油原料等各種化学品の製造、販売
Q185	サービス業	ＣＲＭプロセスの導入・構築に係るコンサルティング、システムソリューション提供及びコールセンター等の運営受託業務
Q186	サービス業	グルメプラットフォーム『Retty』の運営など
Q187	サービス業	教育融合型人材紹介サービス『就職カレッジ』、『女子カレッジ』、『セカンドカレッジ』、『新卒カレッジ』を提供するカレッジ事業、および『7つの習慣』をはじめとした教育研修サービスの提供
Q188	不動産業	新築戸建分譲事業、注文住宅・戸建建築請負事業、その他不動産に関連する事業
Q189	サービス業	完全貸切のゲストハウスにおける、挙式・披露宴に関する企画・運営等
Q190	化学	化学製品全般の販売をおこなうケミカル事業ならびに自動車四輪部品、二輪部品の製造販売をおこなう樹脂加工製品事業
Q191	情報・通信業	モバイルサービス事業
Q192	不動産業	フランチャイズ事業、不動産事業、住宅流通事業
Q193	サービス業	成果報酬型広告サービス事業、検索連動型広告代行事業
Q194	建設業	1階を駐車場、2階以上を店舗とする『空中店舗フィル・パーク』の企画、設計、建築
Q195	その他製品	プレカット木材の加工販売、戸建住宅建築請負、不動産賃貸
Q196	繊維製品	アパレル品のOEM（請け負い）製造
Q197	不動産業	セルフストレージ（レンタル収納スペース、トランクルーム）ビジネスソリューションプロバイダ事業
Q198	サービス業	きものの販売・レンタル事業、結婚式場の運営等
Q199	情報・通信業	システムインテグレーションサービス（開発、運用保守、インフラ構築など）およびソリューションサービス（デジタルブック、CAD、顔認証など）
Q200	小売業	輸入車販売関連事業
